Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",71.335500,-37.782500,0.000000,top
"C2","0.1u","C_0603_1608Metric",71.335500,-39.306500,0.000000,top
"C3","0.1u","C_0603_1608Metric",57.912000,-41.275000,180.000000,top
"C4","39p","C_0603_1608Metric",70.751500,-50.457000,90.000000,top
"C5","39p","C_0603_1608Metric",79.641500,-49.288500,270.000000,top
"C6","0.22u","C_0603_1608Metric",70.612000,-42.164000,90.000000,top
"C7","0.1u","C_0603_1608Metric",72.898000,-42.926000,0.000000,top
"C8","10u","C_0603_1608Metric",72.898000,-41.402000,0.000000,top
"C9","0.1u","C_0603_1608Metric",65.925500,-50.482500,270.000000,top
"C10","0.1u","C_0603_1608Metric",64.452500,-50.482500,270.000000,top
"C11","10u","C_0603_1608Metric",62.941000,-50.482500,270.000000,top
"C12","0.1u","C_0603_1608Metric",57.912000,-43.751500,180.000000,top
"C13","0.1u","C_0603_1608Metric",60.909000,-37.084000,90.000000,top
"C14","0.1u","C_0603_1608Metric",63.703000,-37.084000,90.000000,top
"C15","10u","C_0603_1608Metric",57.912000,-45.224500,180.000000,top
"C16","0.1u","C_0603_1608Metric",61.480500,-50.482500,270.000000,top
"C17","0.1u","C_0603_1608Metric",67.386000,-50.482500,270.000000,top
"C18","0.1u","C_0603_1608Metric",72.898000,-44.450000,0.000000,top
"C19","10u","C_0603_1608Metric",72.898000,-45.974000,0.000000,top
"C20","1n","C_0805_2012Metric",71.247000,-5.461000,0.000000,top
"C21","100u","CP_EIA-6032-20_AVX-F",17.653000,-48.641000,90.000000,top
"C22","0.01u","C_0603_1608Metric",9.144000,-46.101000,90.000000,top
"C23","22u","CP_EIA-3216-10_Kemet-I",16.891000,-41.910000,270.000000,top
"C24","4.7u","C_0603_1608Metric",47.498000,-51.689000,0.000000,top
"C25","10u","C_0603_1608Metric",50.800000,-48.514000,270.000000,top
"D1","DIODE","D_SOD-123",12.077500,-40.589000,180.000000,top
"J2","CONN_02X20","Socket_Strip_SMD_2x20_Pitch2mm",10.000000,-5.000000,90.000000,top
"J5","Conn_02x12","Socket_Strip_SMD_2x12_Pitch2mm",3.048000,-8.890000,0.000000,top
"L1","SRN6045","SRN6045_1",4.953000,-45.847000,270.000000,top
"L2","2.2u","L_1008_2520Metric",48.260000,-44.577000,0.000000,top
"R1","4.99k","R_0603_1608Metric",54.114500,-41.224000,0.000000,top
"R2","56","R_0603_1608Metric",57.924500,-48.907500,0.000000,top
"R3","56","R_0603_1608Metric",57.912000,-47.193000,0.000000,top
"R4","4.99k","R_0603_1608Metric",68.846500,-50.482500,270.000000,top
"R5","1M","R_0603_1608Metric",71.120000,-3.175000,0.000000,top
"R16","DNP","R_0603_1608Metric",11.557000,-34.353500,0.000000,top
"R17","0","R_0603_1608Metric",11.531500,-32.829500,180.000000,top
"R18","0","R_0603_1608Metric",11.557000,-31.305500,180.000000,top
"R19","DNP","R_0603_1608Metric",11.557000,-29.781500,0.000000,top
"S1","PWR","B3U-1000P",64.655500,-4.838500,90.000000,top
"S2","RST","B3U-1000P",59.512000,-4.838500,90.000000,top
"U3","FC5BQCCMC25","FC5BQCCMC120T1",75.184000,-49.657000,0.000000,top
"U4","SN74AXC8T245PWR","SOP65P640X120-24N",46.228000,-24.257000,0.000000,top
"U5","SN74AXC8T245PWR","SOP65P640X120-24N",46.355000,-14.605000,0.000000,top
"U8","LM2674-3.3","SOIC127P600X175-8N",12.700000,-45.720000,90.000000,top
"U9","LM3671-1.2","SOT95P284X122-5N",48.260000,-48.387000,90.000000,top
"U10","PCA9306","SOP65P400X130-8N",17.526000,-32.321500,180.000000,top
"U11","PCA9306","SOP65P400X130-8N",46.228000,-31.496000,0.000000,top
"U12","PCA9306","SOP65P400X130-8N",17.780000,-11.176000,180.000000,top
