Ref,Val,Package,PosX,PosY,Rot,Side
"C26","0.1u","C_0603_1608Metric",43.942000,-20.193000,0.000000,bottom
"C27","0.1u","C_0603_1608Metric",48.514000,-20.193000,180.000000,bottom
"C28","0.1u","C_0603_1608Metric",44.069000,-10.541000,0.000000,bottom
"C29","0.1u","C_0603_1608Metric",48.641000,-10.541000,180.000000,bottom
"C30","0.1u","C_0603_1608Metric",20.193000,-24.257000,180.000000,bottom
"C31","0.01u","C_0603_1608Metric",20.193000,-25.781000,180.000000,bottom
"C32","0.1u","C_0603_1608Metric",15.367000,-24.257000,0.000000,bottom
"C33","0.01u","C_0603_1608Metric",15.367000,-25.781000,0.000000,bottom
"C34","0.1u","C_0603_1608Metric",20.193000,-16.764000,180.000000,bottom
"C35","0.01u","C_0603_1608Metric",20.193000,-18.288000,180.000000,bottom
"C36","0.1u","C_0603_1608Metric",15.367000,-16.764000,0.000000,bottom
"C37","0.01u","C_0603_1608Metric",15.367000,-18.288000,0.000000,bottom
"C38","0.1n","C_0603_1608Metric",19.050000,-33.845500,0.000000,bottom
"C39","0.1n","C_0603_1608Metric",44.704000,-29.972000,180.000000,bottom
"C40","0.1n","C_0603_1608Metric",19.304000,-12.700000,0.000000,bottom
"C41","0.1u","C_0603_1608Metric",33.096000,-29.794000,180.000000,bottom
"C42","0.1u","C_0402_1005Metric",31.191000,-32.042100,90.000000,bottom
"C43","0.1u","C_0402_1005Metric",30.175200,-32.042100,90.000000,bottom
"J1","CONN_02X20","Pin_Header_SMD_2x20_Pitch2mm",10.000000,-5.000000,270.000000,bottom
"R6","10k","R_0603_1608Metric",43.942000,-21.717000,180.000000,bottom
"R7","10k","R_0603_1608Metric",48.514000,-21.717000,0.000000,bottom
"R8","10k","R_0603_1608Metric",43.942000,-24.892000,0.000000,bottom
"R9","10k","R_0603_1608Metric",43.942000,-26.416000,0.000000,bottom
"R10","10k","R_0603_1608Metric",43.942000,-27.940000,0.000000,bottom
"R11","10k","R_0603_1608Metric",44.069000,-12.065000,0.000000,bottom
"R12","10k","R_0603_1608Metric",48.641000,-12.065000,0.000000,bottom
"R13","10k","R_0603_1608Metric",44.069000,-15.240000,0.000000,bottom
"R14","10k","R_0603_1608Metric",44.069000,-16.764000,0.000000,bottom
"R15","10k","R_0603_1608Metric",44.069000,-18.288000,0.000000,bottom
"R20","200k","R_0603_1608Metric",19.050000,-32.321500,0.000000,bottom
"R21","200k","R_0603_1608Metric",19.050000,-30.797500,0.000000,bottom
"R22","200k","R_0603_1608Metric",16.002000,-33.845500,0.000000,bottom
"R23","200k","R_0603_1608Metric",16.002000,-32.321500,180.000000,bottom
"R24","200k","R_0603_1608Metric",16.002000,-30.797500,180.000000,bottom
"R25","200k","R_0603_1608Metric",44.704000,-31.496000,180.000000,bottom
"R26","200k","R_0603_1608Metric",44.678500,-33.020000,180.000000,bottom
"R27","200k","R_0603_1608Metric",47.752000,-29.972000,180.000000,bottom
"R28","200k","R_0603_1608Metric",47.752000,-31.496000,0.000000,bottom
"R29","200k","R_0603_1608Metric",47.752000,-33.020000,0.000000,bottom
"R30","200k","R_0603_1608Metric",19.304000,-11.176000,0.000000,bottom
"R31","200k","R_0603_1608Metric",19.304000,-9.652000,0.000000,bottom
"R32","200k","R_0603_1608Metric",16.256000,-12.700000,0.000000,bottom
"R33","200k","R_0603_1608Metric",16.256000,-11.176000,180.000000,bottom
"R34","200k","R_0603_1608Metric",16.256000,-9.652000,180.000000,bottom
"U1","511FBA125M","SI511",33.083500,-26.543000,90.000000,bottom
